merchant,industry,first_charge_date,country,business_size,subscription_volume,checkout_volume,payment_link_volume,total_volume,active_days,seasonality_score,best_period_days,best_acf,acf_7,acf_14,acf_30,acf_60,acf_91,cycle_type
01f9bf03,Digital goods,2040-11-08 00:00:00+00:00,US,small,0,108130831,0,108138070,418,0.9252584234902609,7.0,0.9252584234902609,0.9252584234902609,0.8767361860446018,-0.3418910566409717,0.07831299228705614,0.6500650016444264,weekly
a5a6c32b,Digital goods,2040-02-25 00:00:00+00:00,US,small,0,18360682,0,169458920,402,0.9032264988517315,7.0,0.9032264988517315,0.9032264988517315,0.8241275696509126,0.6080893647083684,0.2822937695377704,-0.055852834901035264,weekly
7e0cec36,Food & drink,2040-06-01 00:00:00+00:00,GB,small,0,1626792347,105284,1626897631,417,0.8813462195924004,7.0,0.8813462195924004,0.8813462195924004,0.8420340162852896,-0.09634530647636332,-0.40224033997578107,0.6403318044315299,weekly
f8343fac,Business services,2041-07-09 00:00:00+00:00,US,small,0,0,5650650,5650650,280,0.8778677767647497,7.0,0.8778677767647497,0.8778677767647497,0.7850182417359317,0.5205935124742085,0.3482299663310504,0.2445752857181397,weekly
bf59b44d,Food & drink,2041-02-11 00:00:00+00:00,BE,small,0,13457258,0,13457258,345,0.8649649682283171,7.0,0.8649649682283171,0.8649649682283171,0.7926025851368831,-0.1561673542643129,-0.18642235160362502,0.6296542258216941,weekly
bd41126a,Merchandise,2040-07-04 00:00:00+00:00,FR,small,0,92199152,0,552007620,418,0.8644495630833705,7.0,0.8644495630833705,0.8644495630833705,0.7515740011526559,0.42688527279208416,0.04667528965567899,-0.01711292141070514,weekly
e9c9c2cc,Food & drink,2040-07-25 00:00:00+00:00,GB,small,0,1945894,0,11300586,356,0.8547797928914515,7.0,0.8547797928914515,0.8547797928914515,0.7446997586827842,0.3260593012769014,0.011242667545669195,-0.02742108010871345,weekly
977335f8,Grocery & food stores,2040-07-08 00:00:00+00:00,GB,small,0,2756340,0,15579836,362,0.8493449550361922,7.0,0.8493449550361922,0.8493449550361922,0.720682788298343,0.3766219762618896,0.08247897757933222,-0.031026037438579575,weekly
a5c89c55,Business services,2042-03-02 00:00:00+00:00,GB,small,0,3215722,49588,3523317,113,0.8309476330396802,7.0,0.8309476330396802,0.8309476330396802,0.7833457692449228,0.5759226540296498,0.16764782159257696,-0.016524003187204917,weekly
0adbc9ff,Food & drink,2040-01-08 00:00:00+00:00,ES,small,0,14705427,0,14730586,152,0.8308888928875262,7.0,0.8308888928875262,0.8308888928875262,0.6982103252509598,0.3410510514657286,0.1507368142014356,0.29673041421882707,weekly
64107b5d,Food & drink,2041-08-12 00:00:00+00:00,GB,small,0,2420373,0,13369160,314,0.8226674805777966,7.0,0.8226674805777966,0.8226674805777966,0.6713674585868996,0.2679192004232725,-0.000937329390199071,-0.02520846167037817,weekly
83a4aec9,Business services,2041-05-28 00:00:00+00:00,ES,small,0,8560812,0,8560812,323,0.820146178723853,7.0,0.820146178723853,0.820146178723853,0.7902336828002667,0.2023145476306765,0.005260006984994438,0.40376098229734075,weekly
22247214,Others,2042-03-26 00:00:00+00:00,FR,small,0,3590304,0,3590304,87,0.816066051087865,7.0,0.816066051087865,0.816066051087865,0.6908922367284965,0.4265092168846022,0.22783290514610546,-0.04704479755983472,weekly
4a957548,Food & drink,2038-12-15 00:00:00+00:00,GB,small,0,2325694,0,12303498,341,0.811862869284158,7.0,0.811862869284158,0.811862869284158,0.7790571515879487,0.11901166420420439,0.06967495551692439,0.1501518568887554,weekly
b95aab06,Furnishing,2041-10-26 00:00:00+00:00,GB,small,0,21387634,0,23388466,240,0.8097015395715236,7.0,0.8097015395715236,0.8097015395715236,0.7568250532796232,0.5727597114259775,0.3946775441728394,0.26839378056828167,weekly
c73cb467,Specialty retail,2041-06-21 00:00:00+00:00,US,small,0,91610710,0,91623020,367,0.7996606816365183,7.0,0.7996606816365183,0.7996606816365183,0.7067864180261509,0.4281955556642933,-0.009805254704095072,-0.060925924086307405,weekly
459c1c80,Merchandise,2039-06-17 00:00:00+00:00,AU,small,0,56461680,0,57845208,360,0.7978767391033665,7.0,0.7978767391033665,0.7978767391033665,0.6681145472659762,0.2924166066339609,-0.010059742793186718,0.01839866134490073,weekly
04e038d4,Leisure,2042-04-01 00:00:00+00:00,GB,small,0,562472,0,562472,83,0.7948635258918141,7.0,0.7948635258918141,0.7948635258918141,0.6997962101336224,0.49475343898305435,0.16640088496274844,-0.04354698020108369,weekly
91681a6a,Ticketing & events,2040-02-14 00:00:00+00:00,GB,small,0,12171839,0,12171839,293,0.7899909902529539,7.0,0.7899909902529539,0.7899909902529539,0.717518850340792,0.5582478666454551,0.30978240096442855,0.08261506354792801,weekly
